	CITY	STATE	OLD	BLACK%	ASIAN%	HISP%	DEATH	POP_CH	POPDEN	CRIME	INCOME	UNEMP	POVERT	BORN_F	LANG	FAMIL1	SCHOOL	DEGREE	ASSIST	GROSS	CONDOM	LAB_F	MANLAB	TRANSP	TEMPER	PRECEP
1	NEW_YORK	NY	13	28,7	7	24,4	13,2	3,4	23671	9236	29823	8,6	19,3	28,4	41	35,6	79,1	23	13,1	496	7,2	53,7	11,4	53,4	76,8	47,3
2	LOS_ANGE	CA	10	14	9,8	39,9	10,1	17,6	7436	9730	30925	9	18,9	38,4	49,9	30,5	86,8	23	10,7	600	7,5	58	18,4	10,5	74,3	14,8
3	CHICAGO	IL	11,9	39,1	3,7	19,6	15,2	-7,9	12185	10000	26301	8,4	21,6	16,9	29,1	38,5	79,5	19,5	14,4	445	7	56,2	18,7	29,7	75,1	37,4
4	HOUSTON	TX	8,3	28,1	4,1	27,6	11,3	6	3131	10824	26261	6,1	20,7	17,8	30,7	29,6	92,3	25,1	7,1	390	8,7	60,4	11,7	6,5	83,5	50,8
5	PHILADEL	PA	15,2	39,9	2,7	5,6	17,5	-8	11492	6835	24603	8	20,3	6,6	13,7	38,6	70,8	15,2	14	452	2,4	51,5	13,6	28,7	76,7	41,4
6	SAN_DIEG	CA	10,2	9,4	11,8	20,7	8,1	31,2	3546	8537	10	6,2	13,4	20,9	29,2	23,7	91,9	29,8	8,8	602	14,2	59,3	13,9	4,2	71	9,9
7	DALLAS	TX	9,7	29,5	2,2	20,9	9,3	13	2986	15066	27489	6,9	18	12,5	22,2	29,2	90,2	27,1	5,8	426	7	62,8	14,1	6,7	85,9	36,1
8	PHOENIX	AZ	9,7	5,2	1,7	20	10,9	28,2	2411	9958	29291	5	14,2	8,6	18,7	22,8	92,8	19,9	5,8	442	6,2	61,2	14,2	3,3	93,5	7,7
9	DETROIT	MI	12,2	75,7	0,8	2,8	21	-15,9	7297	12263	18742	13,1	32,4	3,4	7,5	53,9	87,3	9,6	26,1	372	1,2	49,3	20,5	10,7	74,2	32,1
10	SAN_ANTO	TX	10,5	7	1,1	55,6	9,5	23	2902	12291	23584	7,1	22,6	9,4	47,3	26,7	92,5	17,8	9,6	369	3,1	54,8	9	4,9	85	31
11	SAN_JOSE	CA	7,2	4,7	19,5	26,6	7,8	27,3	4678	5364	26	6,4	9,3	26,5	38,5	22,7	90,9	25,3	8,9	755	10,5	63,5	31,3	3,5	69,5	14,4
12	INDIANAP	IN	11,4	22,6	0,9	1,1	12,6	6,5	2064	7357	29006	5,1	12,5	1,9	4,4	25,7	87,2	21,7	6	410	3,8	62,4	15,9	3,3	75,4	39,9
13	SAN_FRAN	CA	14,6	10,9	29,1	13,9	8,4	7,4	15609	9384	3	5,6	12,7	34	42,4	28,3	77,5	35	10,4	653	4,5	60,7	9,2	33,5	59,1	19,7
