NUM  DGI   KGI   MFI    PLI
001 1.15  1.00  1.64   1.08
004 1.29  1.22  1.75   1.34
006 1.28  1.39  1.77   1.78
007 0.85  0.82  1.09   1.18
008 1.10  0.79  1.37   1.25
010 0.81  0.76  1.20   1.32
011 1.22  1.22  1.47   1.74
012 1.30  1.21  1.81   1.65
013 1.07  1.05  1.52   1.24
014 1.52  1.38  1.53   1.48
015 1.43  1.16  1.55   1.86
016 1.11  0.91  1.64   1.12
017 1.54  1.49  2.01   1.79
018 1.47  1.25  1.64   1.38
019 1.18  1.13  1.61   1.27
020 1.16  1.23  1.75   1.34
021 1.08  1.02  1.42   1.36
022 1.44  1.43  1.47   1.61
023 1.59  1.62  2.07   1.38
027 1.47  1.46  1.97   1.71
028 1.21  1.18  1.78   1.07
031 1.82  1.65  2.39   2.05
032 1.60  1.49  1.89   1.17
033 1.30  1.20  1.96   1.25
035 1.30  1.24  1.82   1.16
036 1.51  1.38  1.85   1.65
037 1.75  1.52  2.18   1.75
038 1.64  1.46  1.92   1.82
040 1.41  1.20  1.94   1.90
042 1.58  1.46  1.93   1.39
043 0.66  0.97  1.30   1.06
044 1.70  1.54  2.09   1.81
045 1.42  1.32  1.89   1.65
047 1.68  1.42  2.03   1.65
048 1.67  1.42  2.10   1.94
049 1.30  1.05  1.73   1.49
050 1.65  1.41  2.05   1.81
051 1.41  1.36  1.70   1.87
052 1.48  1.44  1.63   1.48
053 1.04  1.18  1.96   1.39
054 1.31  1.40  2.07   1.64
055 1.07  1.13  2.02   1.14
056 1.46  1.27  1.83   1.45
057 1.53  1.44  2.28   1.63
058 1.17  1.20  1.72   1.31
059 1.21  1.17  2.23   1.59
060 1.06  1.17  1.79   1.44
062 1.47  1.34  2.12   1.85
063 1.51  1.38  2.02   1.57
064 1.33  1.34  1.77   1.51
065 1.81  1.45  2.28   1.90
066 1.30  1.01  1.50   1.71
067 0.99  1.14  2.14   1.06
068 1.40  1.13  2.20   1.20
069 1.75  1.40  2.57   1.87
071 1.20  1.20  1.89   1.65
072 1.44  1.35  2.18   1.71
073 1.39  1.27  2.31   1.82
074 1.01  1.13  1.67   1.30
075 1.15  1.10  2.16   1.72
076 1.44  1.37  2.32   1.72
077 1.01  0.85  1.91   0.95
078 1.40  1.38  1.99   1.85
081 1.31  1.33  2.06   1.39
082 1.32  1.45  2.28   1.87
083 1.45  1.17  1.84   1.11
085 1.56  1.48  2.36   1.91
086 1.21  1.21  2.27   1.11
087 1.50  1.43  2.48   1.23
088 1.67  1.59  2.74   1.89
089 1.46  1.35  2.47   1.61
090 1.43  1.46  2.25   1.47
091 1.12  1.07  1.88   1.07
093 1.28  1.33  2.09   1.69
094 1.40  1.13  2.17   1.42
095 1.39  1.21  1.93   1.49
096 1.48  1.39  2.59   1.95
097 1.22  1.16  2.02   1.55
098 1.54  1.29  2.60   1.92
099 1.61  1.43  2.44   1.35
100 1.35  1.27  2.31   1.94
101 1.52  1.41  2.23   1.36
102 1.91  1.76  2.79   2.04
103 1.51  1.42  2.05   1.89
104 1.50  1.37  2.11   1.70
105 1.18  1.31  1.71   1.06
106 1.59  1.31  2.25   1.74
107 1.51  1.39  2.36   1.96
108 1.19  1.19  1.34   1.38
109 1.45  1.32  2.05   1.55
